case,window,start,end,rows,cagr,maxdd,sharpe,vol,total,asset_switches,cash_days,holding_ratio,trades,turnover_sum,cost_sum,avg_exposure,max_exposure,maxdd_start,maxdd_trough
CN_159941_518880,full,2015-07-13,2026-05-15,2632,0.2507330839367421,-0.26773172912890464,1.0950438134410039,0.2282315583327346,9.347386264095304,88,381,0.8552431610942249,1043.0,468.17132102585606,0.4681713210258561,1.1598208991680488,1.5,2022-09-13,2023-02-22
CN_159941_518880,last_10y,2015-12-25,2026-05-15,2520,0.26798764350797066,-0.26773172912890464,1.1441679501676316,0.23097100400595366,9.743609481813944,83,334,0.8674603174603175,1030.0,439.67132102585606,0.43967132102585604,1.1726780184961523,1.5,2022-09-13,2023-02-22
CN_159941_518880,last_5y,2021-03-03,2026-05-15,1260,0.35594061489907713,-0.26773172912890475,1.3843308908432386,0.24112241046166918,3.5835645029734193,40,161,0.8722222222222222,544.0,210.2905568978799,0.2102905568978799,1.1734336114926205,1.5,2022-09-13,2023-02-22
CN_159941_518880,last_3y,2023-03-29,2026-05-15,756,0.6195614439666355,-0.1885918882719383,2.055546620894044,0.25000564974749956,3.2480760952843433,19,78,0.8968253968253969,351.0,101.79822410182099,0.101798224101821,1.1863308697624995,1.5,2026-01-29,2026-03-31
CN_159941_518880,last_1y,2025-04-29,2026-05-15,252,0.782496030880999,-0.1885918882719383,2.3247016782902605,0.26387591229477925,0.782496030880999,5,24,0.9047619047619048,146.0,26.176185996090762,0.026176185996090763,1.075549545663022,1.5,2026-01-29,2026-03-31
US_QQQ_GLD,full,2015-07-13,2026-05-15,2728,0.28945070413129037,-0.22169868071777687,1.2394055404252005,0.22578147363042386,14.673831062310885,94,382,0.8599706744868035,929.0,492.9510960828369,0.49295109608283694,1.193060217264466,1.5,2022-03-08,2022-10-14
US_QQQ_GLD,last_10y,2016-05-09,2026-05-15,2520,0.307399540180765,-0.22169868071777687,1.2938090598782435,0.22724288991442446,13.59094024460078,86,343,0.8638888888888889,885.0,450.3060412790658,0.45030604127906576,1.194319034160786,1.5,2022-03-08,2022-10-14
US_QQQ_GLD,last_5y,2021-05-11,2026-05-15,1260,0.38258252558020645,-0.22169868071777699,1.4457746244033944,0.244939233474802,4.051906658612932,39,173,0.8626984126984127,508.0,220.22792161480186,0.22022792161480184,1.1706155595205177,1.5,2022-03-08,2022-10-14
US_QQQ_GLD,last_3y,2023-05-11,2026-05-15,756,0.5476503449548513,-0.19530655308001454,1.8598824484939176,0.252089659963915,2.7069655203764946,20,95,0.8743386243386243,284.0,119.4697212102904,0.11946972121029041,1.1856196716886283,1.5,2026-01-29,2026-03-30
US_QQQ_GLD,last_1y,2025-05-15,2026-05-15,252,0.8784147097041171,-0.19530655308001466,2.4922881831372656,0.26798349903474955,0.8784147097041171,4,36,0.8571428571428571,120.0,25.776576025927614,0.02577657602592761,1.0915598887413498,1.5,2026-01-29,2026-03-30
