scenario,score_max,r2_threshold,target_vol,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,avg_scale,avg_final_exposure,staged_initials,staged_fills
no_score_cap_r2_0.10_tv_0.20_oh_20_18,no_cap,0.1,0.2,from_2020,2020-01-02,2026-05-08,1535,5.102767253791939,0.3297695610280649,-0.1677576671802269,0.20570000545128608,1.5663645114344975,257,71,84,0.8526790410930128,0.7019937710166112,133,114
no_score_cap_r2_0.10_tv_0.20_oh_20_18,no_cap,0.1,0.2,6Y,2020-05-08,2026-05-08,1454,4.66565057582011,0.3352736549860418,-0.1677576671802269,0.20123547394305624,1.5950347200200634,242,66,81,0.8581302304198111,0.7065524459515691,125,108
no_score_cap_r2_0.10_tv_0.20_oh_20_18,no_cap,0.1,0.2,3Y,2023-05-08,2026-05-08,727,2.360329118333739,0.49768535170822537,-0.1641692362662449,0.21268455517210233,2.101905716858997,109,41,53,0.7720462495877897,0.6135838900973778,56,50
no_score_cap_r2_0.10_tv_0.20_oh_20_18,no_cap,0.1,0.2,1Y,2025-05-08,2026-05-08,243,0.42625490455107595,0.42660179244316665,-0.08022902090564976,0.19067009350575856,2.036263915812038,32,10,28,0.720153174041239,0.5633096347791536,16,15
no_score_cap_r2_0.10_tv_0.25_oh_20_18,no_cap,0.1,0.25,from_2020,2020-01-02,2026-05-08,1535,7.822941904778299,0.4092934202657903,-0.20522399140428083,0.2519551815356173,1.5644562377985465,257,71,84,1.0420439139060833,0.8559962508722646,133,114
no_score_cap_r2_0.10_tv_0.25_oh_20_18,no_cap,0.1,0.25,6Y,2020-05-08,2026-05-08,1454,7.0634787210591465,0.4161900966405214,-0.20522399140428083,0.2459763286418127,1.5942155631166113,242,66,81,1.0475658562229315,0.860531176670768,125,108
no_score_cap_r2_0.10_tv_0.25_oh_20_18,no_cap,0.1,0.25,3Y,2023-05-08,2026-05-08,727,3.3267684275717846,0.6293192197467836,-0.20180698741368996,0.2614430378923675,2.091684923098501,109,41,53,0.9504508955776114,0.7531798810279885,56,50
no_score_cap_r2_0.10_tv_0.25_oh_20_18,no_cap,0.1,0.25,1Y,2025-05-08,2026-05-08,243,0.5539252555834004,0.5543944672494858,-0.09957689536934922,0.23829326898727599,2.0475227172971424,32,10,28,0.900191467551549,0.704137043473942,16,15
no_score_cap_r2_0.10_tv_0.30_oh_20_18,no_cap,0.1,0.3,from_2020,2020-01-02,2026-05-08,1535,10.900919837522023,0.47734013156736377,-0.23054504165461087,0.28961779473952454,1.5658256173887468,257,71,84,1.1978083486167603,0.9818905843656164,133,114
no_score_cap_r2_0.10_tv_0.30_oh_20_18,no_cap,0.1,0.3,6Y,2020-05-08,2026-05-08,1454,9.781857332817742,0.4864656394449256,-0.23054504165461087,0.2829090211845315,1.5985409413858422,242,66,81,1.204133759955294,0.9874404437931019,125,108
no_score_cap_r2_0.10_tv_0.30_oh_20_18,no_cap,0.1,0.3,3Y,2023-05-08,2026-05-08,727,4.302283984590957,0.7435426587148994,-0.21156253730610175,0.3011995674965548,2.0865555000014093,109,41,53,1.103283965602303,0.8720733590380496,56,50
no_score_cap_r2_0.10_tv_0.30_oh_20_18,no_cap,0.1,0.3,1Y,2025-05-08,2026-05-08,243,0.6835837422801319,0.6841845483323163,-0.11864346930623348,0.28517539625510113,2.047334700327438,32,10,28,1.0786391202979033,0.8436753311284773,16,15
no_score_cap_r2_0.20_tv_0.20_oh_20_18,no_cap,0.2,0.2,from_2020,2020-01-02,2026-05-08,1535,4.9899327241595275,0.3258649647562928,-0.16511415733631585,0.20563139867956493,1.5518559899040896,261,95,84,0.8609428961380904,0.6967805248536322,131,114
no_score_cap_r2_0.20_tv_0.20_oh_20_18,no_cap,0.2,0.2,6Y,2020-05-08,2026-05-08,1454,4.844958720366317,0.342227313249972,-0.16511415733631574,0.20148906137842554,1.620100200542286,245,88,81,0.8659061649414369,0.701341337058952,123,108
no_score_cap_r2_0.20_tv_0.20_oh_20_18,no_cap,0.2,0.2,3Y,2023-05-08,2026-05-08,727,2.3464537178936835,0.4956215747787722,-0.16511415733631574,0.2128211191788914,2.094296901001292,113,45,53,0.776134965479934,0.6097552598225575,58,51
no_score_cap_r2_0.20_tv_0.20_oh_20_18,no_cap,0.2,0.2,1Y,2025-05-08,2026-05-08,243,0.4351150060404896,0.4354701377168806,-0.07265349431097834,0.19047390299769362,2.0720575853756706,33,11,28,0.7232035230572252,0.5551420307574766,17,15
no_score_cap_r2_0.20_tv_0.25_oh_20_18,no_cap,0.2,0.25,from_2020,2020-01-02,2026-05-08,1535,7.591233371192217,0.40339599177216545,-0.2029033869319654,0.25159646741923497,1.5489175696977748,261,95,84,1.051633577883826,0.84899832657662,131,114
no_score_cap_r2_0.20_tv_0.25_oh_20_18,no_cap,0.2,0.25,6Y,2020-05-08,2026-05-08,1454,7.354951855200424,0.42459819859660275,-0.2029033869319654,0.2460081543840057,1.619077470628447,245,88,81,1.0565005162633014,0.8535052373562014,123,108
no_score_cap_r2_0.20_tv_0.25_oh_20_18,no_cap,0.2,0.25,3Y,2023-05-08,2026-05-08,727,3.286794627043146,0.6242872263149979,-0.2029033869319653,0.2612421482416688,2.08073988443003,113,45,53,0.9551514780017234,0.7480273114627556,58,51
no_score_cap_r2_0.20_tv_0.25_oh_20_18,no_cap,0.2,0.25,1Y,2025-05-08,2026-05-08,243,0.5660127045842791,0.5664938798093719,-0.09027879527024707,0.2380471268987186,2.0833425652169173,33,11,28,0.9040044038215312,0.6939275384468456,17,15
no_score_cap_r2_0.20_tv_0.30_oh_20_18,no_cap,0.2,0.3,from_2020,2020-01-02,2026-05-08,1535,10.498416728308278,0.46935248024311105,-0.21268707595283953,0.28865920228344527,1.550448724517546,261,95,84,1.2071993940842074,0.972116949782194,131,114
no_score_cap_r2_0.20_tv_0.30_oh_20_18,no_cap,0.2,0.3,6Y,2020-05-08,2026-05-08,1454,10.222994613741403,0.4964357189808357,-0.21268707595283942,0.2823823689233209,1.6256260854426774,245,88,81,1.2125992842961848,0.9775349227192756,123,108
no_score_cap_r2_0.20_tv_0.30_oh_20_18,no_cap,0.2,0.3,3Y,2023-05-08,2026-05-08,727,4.234552530169088,0.7360885047415511,-0.21268707595283942,0.30065579729383435,2.074937764490137,113,45,53,1.1085023720949145,0.8656187226815624,58,51
no_score_cap_r2_0.20_tv_0.30_oh_20_18,no_cap,0.2,0.3,1Y,2025-05-08,2026-05-08,243,0.699325679391082,0.6999429394334415,-0.10768909451870656,0.2848790306965957,2.0832592676962025,33,11,28,1.0832146438218824,0.8314239250959615,17,15
no_score_cap_r2_0.30_tv_0.20_oh_20_18,no_cap,0.3,0.2,from_2020,2020-01-02,2026-05-08,1535,4.449494964866289,0.30625668372145887,-0.17564440184301156,0.20439374182931727,1.4839827859329418,259,133,82,0.8772885996510029,0.6818759921098991,130,110
no_score_cap_r2_0.30_tv_0.20_oh_20_18,no_cap,0.3,0.2,6Y,2020-05-08,2026-05-08,1454,4.3816996296658735,0.32387721962289495,-0.17564440184301156,0.20089667375635284,1.5529452310278702,243,122,79,0.8808541168773789,0.6862008701773508,122,104
no_score_cap_r2_0.30_tv_0.20_oh_20_18,no_cap,0.3,0.2,3Y,2023-05-08,2026-05-08,727,2.182384200445326,0.4707741117035116,-0.1657739535855307,0.21316796671826144,2.0107570035152,115,57,51,0.7778922760683386,0.6026307680363019,58,51
no_score_cap_r2_0.30_tv_0.20_oh_20_18,no_cap,0.3,0.2,1Y,2025-05-08,2026-05-08,243,0.45334492182149866,0.4537171330274916,-0.07312012176806315,0.19094338348127185,2.136347779182234,34,13,28,0.7327337999377925,0.5547607698517661,17,15
no_score_cap_r2_0.30_tv_0.25_oh_20_18,no_cap,0.3,0.25,from_2020,2020-01-02,2026-05-08,1535,6.501137819224219,0.3737092374911879,-0.21051110664570127,0.24905416633031952,1.472644785477303,259,133,82,1.0667817216194493,0.8271129920916741,130,110
no_score_cap_r2_0.30_tv_0.25_oh_20_18,no_cap,0.3,0.25,6Y,2020-05-08,2026-05-08,1454,6.403341986155117,0.3961680758023778,-0.21051110664570127,0.24421648498293155,1.543224747738163,243,122,79,1.0696101006283556,0.8311466652893301,122,104
no_score_cap_r2_0.30_tv_0.25_oh_20_18,no_cap,0.3,0.25,3Y,2023-05-08,2026-05-08,727,2.9681406865471973,0.5830094498341536,-0.20378952704479436,0.260283097469148,1.98428231903015,115,57,51,0.955765625422489,0.73770994802496,58,51
no_score_cap_r2_0.30_tv_0.25_oh_20_18,no_cap,0.3,0.25,1Y,2025-05-08,2026-05-08,243,0.5908602360354451,0.591366204476006,-0.09146454613383204,0.238631352808783,2.147640819710112,34,13,28,0.9159172499222406,0.6934509623147075,17,15
no_score_cap_r2_0.30_tv_0.30_oh_20_18,no_cap,0.3,0.3,from_2020,2020-01-02,2026-05-08,1535,8.612538824969764,0.4284563114868307,-0.23528858646970974,0.28492204004304594,1.4637783307560042,259,133,82,1.2227102796916276,0.9450239396554148,130,110
no_score_cap_r2_0.30_tv_0.30_oh_20_18,no_cap,0.3,0.3,6Y,2020-05-08,2026-05-08,1454,8.544714749849991,0.45656909266507206,-0.23528858646970963,0.2795882894208051,1.5385732842457704,243,122,79,1.2255349164747953,0.9498157206072158,122,104
no_score_cap_r2_0.30_tv_0.30_oh_20_18,no_cap,0.3,0.3,3Y,2023-05-08,2026-05-08,727,3.729093365920601,0.6783195622249343,-0.22354988503191975,0.2999363492921949,1.9615959049010536,115,57,51,1.115678744593589,0.8569609338277338,58,51
no_score_cap_r2_0.30_tv_0.30_oh_20_18,no_cap,0.3,0.3,1Y,2025-05-08,2026-05-08,243,0.7321903251282531,0.7328422575818168,-0.11000701700875626,0.2856503901809603,2.148395509572585,34,13,28,1.0977717600024361,0.8309716093903613,17,15
