code,name,first,last,rows,missing_in_joined_calendar,max_abs_daily_return,max_abs_daily_return_date,large_move_gt_30pct_count
159915.SZ,创业板100ETF,2011-12-09,2026-05-08,3496,470,0.19999999999999996,2024-09-30,0
159941.SZ,纳指ETF,2015-07-13,2026-05-08,2627,1339,0.10006373486297004,2020-09-04,0
513030.SH,德国ETF,2014-09-05,2026-05-08,2832,1134,0.10017678255745444,2025-04-07,0
513520.SH,日经ETF,2019-06-25,2026-05-08,1665,2301,0.09331373989713443,2025-04-07,0
159985.SZ,豆粕ETF,2019-12-05,2026-05-08,1554,2412,0.0888717156105101,2022-02-07,0
518880.SH,黄金ETF,2013-07-29,2026-05-08,3104,862,0.10000908347715509,2026-02-02,0
512100.SH,中证1000ETF,2016-11-04,2026-05-08,2307,1659,0.09991941982272357,2025-04-07,0
515100.SH,红利低波100ETF,2020-07-03,2026-05-08,1416,2550,0.07835325365205847,2024-10-09,0
511260.SH,十年国债ETF,2017-08-24,2026-05-08,2109,1857,0.012466124661246525,2020-03-09,0
510050.SH,上证50ETF,2010-01-04,2026-05-08,3966,0,0.09984639016895902,2015-01-19,0
