scenario,window,code,days,share
base6,from_2020,159941.SZ,331,0.21563517915309446
base6,from_2020,159985.SZ,292,0.19022801302931597
base6,from_2020,159915.SZ,275,0.1791530944625407
base6,from_2020,518880.SH,193,0.1257328990228013
base6,from_2020,513520.SH,175,0.11400651465798045
base6,from_2020,513030.SH,162,0.10553745928338762
base6,from_2020,CASH,107,0.06970684039087947
base5_no_soymeal,from_2020,159941.SZ,370,0.24104234527687296
base5_no_soymeal,from_2020,159915.SZ,313,0.20390879478827362
base5_no_soymeal,from_2020,518880.SH,257,0.16742671009771987
base5_no_soymeal,from_2020,CASH,234,0.152442996742671
base5_no_soymeal,from_2020,513520.SH,184,0.11986970684039087
base5_no_soymeal,from_2020,513030.SH,177,0.11530944625407166
