variant,window,cagr,cagr_delta_pp,maxdd,maxdd_delta_pp,sharpe,sharpe_delta,overheat_days_delta,turnover_delta
no_cap_raw,from_2020,0.430125794611939,-15.818077287307952,-0.2031870279368006,-2.264644884959019,1.5563612677778584,-0.3424285346662779,66,-116.04349190196916
no_cap_raw,5Y,0.496865254755658,-14.69405226040237,-0.2031870279368005,-2.2646448849589995,1.733952279771226,-0.3350197171906355,46,-89.47293742604276
no_cap_raw,3Y,0.6739149591522222,-34.33214608364459,-0.2031870279368006,-3.768103093465511,2.111775275398036,-0.6508826699796861,45,-68.34660357821855
no_cap_raw,1Y,0.608569401772864,-34.59775181951794,-0.0876820305898324,3.98311890536025,2.1238951279055307,-0.7124253784155461,24,-36.93303363382785
winsor_rank_cap_5,from_2020,0.4243124365377333,-16.399413094728523,-0.2031870279368001,-2.264644884958969,1.5405085144870834,-0.35828128795705294,66,-116.337387924832
winsor_rank_cap_5,5Y,0.4867112977689884,-15.709447959069328,-0.2031870279368002,-2.2646448849589715,1.707334584306358,-0.3616374126555033,46,-89.87179164563628
winsor_rank_cap_5,3Y,0.6551099860713188,-36.212643391734936,-0.2031870279368002,-3.768103093465472,2.0693122434956583,-0.6933457018820639,45,-68.76401335210781
winsor_rank_cap_5,1Y,0.5551081295483109,-39.943879041973254,-0.1092524670851368,1.8260752558298092,1.9851553800322437,-0.8511651262888331,24,-37.35044340771708
soft_penalty_5_half,from_2020,0.4771118161457299,-11.119475133928864,-0.2031870279368005,-2.264644884959008,1.6424057147345208,-0.2563840877096155,32,-88.62596244368672
soft_penalty_5_half,5Y,0.5187549054863274,-12.505087187335429,-0.2031870279368004,-2.264644884958991,1.7693083833051575,-0.2996636136567039,23,-69.69646404992116
soft_penalty_5_half,3Y,0.7135971989723602,-30.36392210163079,-0.2031870279368004,-3.7681030934654913,2.1584959211952093,-0.604162024182513,22,-48.471884343131904
soft_penalty_5_half,1Y,0.6169700061437606,-33.75769138242828,-0.1005483836306596,2.69648360127753,2.131895642648644,-0.7044248636724326,18,-28.864200330758862
